topic	 train	 infer	 full	
1	0.04037344142602745	0.04040632364537353	0.04038001786989667
2	0.04309762772462896	0.04318923500215912	0.043115949180135
3	0.04041656307130691	0.04032388081395561	0.04039802661983666
4	0.06884924490759553	0.06910013791647208	0.06889942350937084
5	0.05468837395757567	0.05452790994698054	0.05465628115545665
6	0.04050523456005502	0.04045109301740522	0.04049440625152506
7	0.04968059397751892	0.04951640032348272	0.04964775524671169
8	0.07810469007359594	0.07836819653335134	0.07815739136554703
9	0.05532070443192214	0.05478871486587654	0.05521430651871302
10	0.03981813434923738	0.0398150434478661	0.03981751616896313
11	0.04331780560147545	0.04331073542843694	0.04331639156686776
12	0.0528825233424035	0.0529721514258191	0.05290044895908662
13	0.04245372133623166	0.04218937822970489	0.04240085271492631
14	0.04812230834672886	0.04812476448731449	0.04812279957484599
15	0.05539950888786821	0.05607650472269635	0.05553490805483384
16	0.05174937012499457	0.05174967592931715	0.05174943128585908
17	0.04059233433833909	0.04060218807046324	0.04059430508476393
18	0.0510822347180664	0.05132289168099897	0.05113036611065291
19	0.05457312821550615	0.05431754656185817	0.05452201188477656
20	0.04897245661167155	0.04884722794950808	0.04894741087923886
